idVideo,features,category
105,1|0|0|1|0|0|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1,NADAR
106,1|0|0|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1,NADAR
107,1|0|0|1|0|0|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1,NADAR
108,1|0|0|1|0|0|1|1|1|0|0|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|0|1,CAMINAR
109,1|0|0|1|0|0|1|1|0|0|0|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|0|1,CAMINAR
110,1|0|0|1|0|0|1|0|1|0|0|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|0|1,CAMINAR
111,1|0|0|1|0|0|1|1|1|1|0|1|1|1|1|0|1|0|1|1|1|0|1|1|1|1|0|1,CAMINAR
112,1|0|0|1|0|0|1|0|0|1|0|1|1|1|1|0|1|0|1|1|1|0|1|1|1|1|0|1,CAMINAR
113,1|0|0|1|0|0|1|1|0|0|0|1|1|1|1|0|1|0|1|1|1|0|1|1|1|1|0|1,CAMINAR
114,1|0|0|1|0|0|1|0|1|0|0|1|1|1|1|0|1|0|1|1|1|0|1|1|1|1|0|1,CAMINAR
115,1|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|1|0|1|1|1|0|0|0|1|1|0|1,TROTAR
116,1|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|1|0|1|1|1|0|0|0|1|0|0|1,CAMINAR
117,1|0|0|1|0|0|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|1|1|1|1|1,TROTAR
118,1|0|0|1|0|0|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|1|1|1|0|1,CAMINAR
119,1|0|0|1|0|0|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1|0|0|1,NADAR
120,1|0|0|1|0|0|1|1|0|0|0|1|1|1|0|0|1|0|1|1|1|0|0|1|1|1|1|1,CAMINAR
121,1|0|0|1|0|0|1|0|1|0|0|1|1|1|0|0|1|0|1|1|1|0|0|1|1|1|1|1,CAMINAR
122,1|0|0|1|0|0|1|1|1|0|0|1|1|1|0|0|1|0|1|1|1|0|0|1|1|0|0|1,TROTAR
123,1|0|0|1|0|0|1|1|0|0|0|1|1|1|0|0|1|0|1|1|1|0|0|1|1|0|0|1,TROTAR
124,1|0|0|1|0|0|1|0|1|0|0|1|1|1|0|0|1|0|1|1|1|0|0|1|1|0|0|1,TROTAR
125,1|0|0|1|0|0|1|1|1|1|0|1|1|1|0|0|1|0|1|1|1|0|0|0|1|0|0|1,BAILAR
126,1|0|0|1|0|0|1|1|0|1|0|1|1|1|0|0|1|0|1|1|1|0|0|0|1|0|0|1,BAILAR
127,1|0|0|1|0|0|1|0|1|1|0|1|1|1|0|0|1|0|1|1|1|0|0|0|1|0|0|1,BAILAR
128,1|0|0|1|0|0|1|1|1|1|0|0|1|1|0|0|0|1|1|1|1|0|0|1|1|1|1|1,CAMINAR
129,1|0|0|1|0|0|1|1|1|0|0|1|1|1|0|0|0|1|1|1|1|0|0|1|1|1|1|1,CAMINAR
130,1|0|0|1|0|0|1|1|0|0|0|1|1|1|0|0|0|1|1|1|1|0|0|1|1|1|1|1,CAMINAR
131,1|0|0|1|0|0|1|0|1|0|0|1|1|1|0|0|0|1|1|1|1|0|0|1|1|1|1|1,CAMINAR
132,1|0|0|1|0|0|1|1|1|1|0|1|1|1|0|0|0|1|1|1|1|0|0|1|1|0|0|1,TROTAR
133,1|0|0|1|0|0|1|1|1|1|0|1|1|1|0|0|0|1|1|1|1|0|0|0|1|0|0|1,BAILAR
134,1|0|0|1|0|0|1|1|1|0|0|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1,NADAR
135,1|0|0|1|0|0|1|1|0|0|0|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1,NADAR
136,1|0|0|1|0|0|1|0|1|0|0|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1,NADAR
137,1|0|0|1|0|0|1|1|1|0|0|1|1|0|0|0|1|0|1|1|1|0|0|1|1|1|0|1,CAMINAR
138,1|0|0|1|0|0|1|1|0|0|0|1|1|0|0|0|1|0|1|1|1|0|0|1|1|1|0|1,CAMINAR
139,1|0|0|1|0|0|1|0|1|0|0|1|1|0|0|0|1|0|1|1|1|0|0|1|1|1|0|1,CAMINAR
140,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|0|1|1|1|1|0|0|1|1|1|0|1,CAMINAR
141,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|1|0|1|0|0|0|0|1|1|1|0|1,CAMINAR
142,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|0|1|1|0|0|0|0|1|1|1|0|1,CAMINAR
143,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|1|0|0|1|0|0|0|1|1|1|0|1,TROTAR
144,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|0|1|0|1|0|0|0|1|1|1|0|1,TROTAR
145,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|1|0|0|1,BAILAR
146,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|0|1|0|1|0|0|0|0|1|0|0|1,BAILAR
147,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|1|0|0|1,TROTAR
148,1|0|0|1|0|0|1|1|1|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|1|0|0|1,TROTAR
